"Boyut,Ag?rl?k,Tatl?l?k,Yumu?akl?k,Hasatzaman?,Olgunluk,Asitlik,Quality"
"11.396.991,-2.118.824,-1.298.051,36.345.341,67.341.316,4.882.137,-19.356.908,Good"
"4.215.374,24.064.362,-39.062.057,35.363.195,15.510.823,22.459.026,2.685.352,Good"
"11.229.814,-19.306.527,-24.546.077,10.525.761,1.351.906,1.750.979,-23.850.143,Good"
"31.171.158,-8.006.729,-30.897.858,28.677.573,6.157.824,31.837.895,-19.796.913,Good"
"7.662.436,15.786.896,-46.649.384,87.358.516,20.583.107,-39.282.367,4.035.998,Good"
"-8.554.691,-18.424.852,-3.373.389,17.577.173,30.545.955,82.763.183,-82.176.316,Good"
"44.003.787,-19.116.507,-81.968.164,95.509.315,28.789.167,5.085.041,-61.391,Good"
"19.886.246,-27.238.426,-14.890.068,-13.647.228,2.693.992,21.875.296,-14.960.096,Good"
"-1.097.823,-32.379.901,-12.861.174,97.092.185,21.538.272,23.197.749,-249.655,Good"
"-66.166.776,-56.343.946,14.486.457,10.653.886,-20.699.642,4.742.607,-7.308.145,Good"
"5.162.848,-27.526.214,17.004.135,-51.707.164,32.828.045,289.861,-30.972.862,Good"
"39.315.786,46.070.442,-2.263.588,-67.469.436,20.875.723,-11.918.927,88.993.484,Good"
"26.264.863,-67.955.273,-39.106.086,35.479.672,229.525,3.209.683,-12.914.177,Good"
"-5.107.644,-14.089.758,-14.620.959,4.753.737,6.975.536,21.483.853,-314.824,Good"
"-79.987.913,-14.971.449,-32.801.528,6.976.467,10.716.891,46.152.234,-6.434.241,Good"
"-21.374.717,-22.153.091,-16.962.477,20.326.846,7.712.056,20.629.969,-21.478.508,Good"
"21.017.406,-5.403.401,-281.801,6.555.104,16.251.668,47.107.518,-2.963.595,Good"
"28.205.216,11.943.395,-4.418.749,11.804.677,12.126.224,-6.772.466,22.961.743,Good"
"14.886.509,-22.252.874,-18.102.843,35.097.428,18.966.825,24.850.419,-9.766.381,Good"
"50.942.045,-12.961.607,-20.021.172,21.465.683,26.262.338,10.053.661,-9.377.657,Good"
"17.172.959,-22.829.823,-10.343.804,3.304.761,-14.216.976,25.416.024,-3.624.593,Good"
"-1.246.533,-18.197.334,-129.446.145,94.070.435,31.167.185,1.559.877,-13.435.463,Good"
"-22.702.987,-2.548.592,-13.487.312,21.409.917,11.222.605,36.533.372,-35.474.052,Good"
"31.875.312,14.764.968,-3.342.524,4.475.213,37.440.186,-6.642.223,12.833.971,Good"
"10.194.308,-57.016.504,-21.154.096,29.204.767,-13.446.798,16.510.178,-19.017.617,Good"
"30.878.645,-10.656.674,-36.557.636,-1.632.249,395.412,7.517.441,13.472.095,Good"
"-63.700.724,-2.707.183,-18.846.575,23.454.235,22.660.027,13.427.479,-19.400.223,Good"
"4.732.964,40.391.615,-23.032.238,17.185.469,3.255.108,-20.341.256,3.777.239,Good"
"-49.659.383,-11.480.258,-2.374.562,53.528.106,8.707.729,21.925.254,-14.962.045,Good"
"24.443.433,-14.204.166,-83.104.634,-75.839.534,57.944.804,15.554.855,-16.737.152,Good"
"25.157.232,-19.772.371,-32.304.972,19.859.645,-23.783.834,21.259.503,-5.512.349,Good"
"-9.461.528,-23.978.894,-23.126.118,35.294.212,36.160.831,12.293.425,-17.468.283,Good"
"37.219.543,-44.130.674,-24.973.915,14.166.646,6.101.262,10.412.781,41.460.094,Good"
"19.026.006,-8.059.401,-24.142.406,6.023.264,43.381.283,-28.514.056,-18.036.205,Good"
"4.783.768,-19.473.042,-1.435.089,-29.134.393,10.020.517,35.336.155,-7.060.199,Good"
"4.020.982,-24.440.786,-27.387.218,-13.469.379,8.165.017,17.034.434,-415.281,Good"
"-23.013.818,-13.258.077,-24.620.628,3.991.469,47.208.723,19.001.162,-38.751.128,Good"
"16.120.325,-35.877.945,-9.632.508,-54.569.656,253.835,20.051.258,-28.353.791,Good"
"68.851.364,-2.614.739,-8.099.231,8.707.607,23.254.821,37.503.543,-15.245.141,Good"
"39.498.763,-1.537.914,14.835.851,32.308.922,-61.717.904,4.494.041,-4.071.965,Good"
"14.353.311,-3.146.432,-57.758.623,2.540.463,975.569,30.731.437,-2.735.301,Good"
"5.519.127,-14.442.407,-19.878.724,26.256.657,18.987.747,12.330.997,10.230.503,Good"
"-10.667.477,-33.109.562,52.313.983,3.653.838,17.525.156,22.026.699,-64.719.357,Good"
"12.827.759,-26.676.407,-6.167.504,26.704.425,38.104.599,38.391.476,-17.476.633,Good"
"1.100.038,-10.293.408,-5.537.191,47.291.775,-75.250.226,32.131.581,-25.715.606,Good"
"16.655.086,-504.441,-18.929.007,25.695.558,26.524.103,-14.363.898,47.243.655,Good"
"1.129.257,9.025.613,-22.939.374,21.722.267,20.733.426,67.006.797,-16.909.657,Good"
"38.262.854,-40.011.554,8.111.586,-11.011.317,3.178.717,3.212.256,-2.759.661,Good"
"-2.355.617,-26.093.476,40.126.628,16.819.323,20.177.345,4.273.372,-4.669.525,Good"
"38.629.146,17.011.715,-31.517.558,25.385.766,34.128.232,-19.029.204,31.696.463,Good"
"11.571.603,-6.317.532,-13.018.239,5.057.608,35.674.388,-12.606.737,-64.830.315,Good"
"88.217.205,-22.849.255,-21.353.528,11.334.844,18.082.249,17.296.411,-35.628.214,Good"
"17.499.958,-57.880.588,19.764.615,-2.598.753,41.951.168,7.148.525,-60.918.117,Good"
"-11.927.831,-19.382.921,-15.497.023,15.698.456,3.159.397,20.394.878,-10.270.318,Good"
"8.824.357,10.373.253,-32.743.595,2.006.458,14.396.929,95.090.014,10.613.383,Good"
"6.736.373,-38.296.452,33.830.345,-1.753.205,24.652.487,31.754.467,-5.657.684,Good"
"44.181.733,-2.186.455,-294.857,-7.552.725,6.134.379,59.781.957,24.450.071,Good"
"8.539.345,-33.191.135,-1.407.192,84.685.093,22.563.088,31.146.898,-13.622.327,Good"
"2.933.663,-21.118.598,-16.030.774,-20.244.377,10.796.824,23.708.415,-20.737.944,Good"
"17.659.047,-29.108.057,-14.856.617,1.893.052,17.992.606,2.297.802,-20.152.915,Good"
"-97.593.226,-68.342.996,-17.213.314,-31.423.223,13.820.472,-6.953.704,-26.006.174,Good"
"-8.385.946,-38.608.034,-13.370.723,26.133.564,-8.184.538,38.407.767,-49.324.527,Good"
"16.927.264,-18.221.514,9.714.432,13.270.297,400.515,1.261.365,-24.171.681,Good"
"22.432.146,14.922.122,-3.898.557,31.156.573,14.342.116,22.499.998,12.900.052,Good"
"15.816.067,-2.719.299,-17.173.362,82.629.395,904.915,4.687.048,-24.119.437,Good"
"34.504.416,-24.759.378,14.439.909,-78.485.745,31.478.653,9.752.402,-72.944.626,Good"
"41.827.452,283.987,-2.716.232,22.346.964,34.010.544,6.251.704,-40.509.996,Good"
"36.376.044,-17.778.999,-58.586.377,27.362.688,35.090.482,19.861.821,-17.479.022,Good"
"126.789,-12.569.372,-17.674.626,556.635,1.457.412,8.787.105,-1.395.204,Good"
"21.410.625,-18.715.019,-1.198.461,-13.156.274,35.097.926,14.009.738,-3.813.296,Good"
"19.806.798,-21.012.385,-1.641.051,14.691.675,16.873.944,24.996.157,-87.918.276,Good"
"11.472.745,13.145.889,-41.108.475,2.125.503,22.247.689,-2.646.219,10.429.176,Good"
"97.537.696,-2.589.832,-14.287.559,19.324.288,28.751.078,15.908.017,-7.839.911,Good"
"30.804.067,-1.582.872,-19.162.003,41.641.626,-2.853.452,30.751.393,-33.975.987,Good"
"22.081.473,-16.485.898,-2.017.446,13.047.291,17.824.343,10.076.084,-20.532.913,Good"
"10.340.545,14.899.015,-24.894.443,2.298.099,52.605.677,-56.336.325,-5.306.721,Good"
"57.921.666,-5.674.676,12.675.641,15.791.879,29.546.576,3.560.069,-2.394.753,Good"
"53.817.475,-13.042.812,-30.896.633,-32.333.386,12.835.352,8.431.028,42.442.653,Good"
"43.644.476,46.636.325,-47.729.607,35.057.385,30.390.593,2.567.347,7.568.148,Good"
"30.925.686,-19.466.536,-23.869.202,64.660.424,-23.223.062,16.511.014,-31.994.617,Good"
"23.728.437,1.193.387,-24.333.928,14.118.762,29.496.338,-14.294.518,90.360.254,Good"
"16.037.073,-12.069.198,-21.421.106,25.561.736,64.178.175,10.040.022,-25.131.664,Good"
"2.131.869,-40.440.745,94.750.804,5.538.186,-693.779,3.416.195,-55.645.986,Good"
"2.081.755,-9.779.426,-16.700.455,31.921.902,-25.322.555,29.544.709,-10.141.528,Good"
"41.556.826,-31.783.113,-75.572.175,3.163.733,26.736.786,18.394.407,-21.122.644,Good"
"19.634.706,-16.203.378,-18.919.814,19.251.391,32.083.862,67.709.684,11.473.714,Good"
"96.527.815,-26.893.992,-22.321.725,27.869.277,13.214.417,10.905.983,-383.671,Good"
"18.781.736,9.927.261,-38.185.387,8.939.438,1.387.359,-36.752.902,960.027,Good"
"12.543.594,-26.498.182,-17.090.437,3.190.379,-20.359.333,39.154.596,-4.213.094,Good"
"-15.840.006,-7.064.732,-11.897.522,2.652.324,21.759.071,-5.654.524,-2.340.817,Good"
"37.075.755,-21.278.076,37.542.857,49.612.184,70.667.416,32.713.525,-4.018.536,Good"
"12.070.209,-23.347.201,-36.656.241,8.595.051,36.966.377,25.159.416,-50.164.235,Good"
"3.512.295,-71.376.437,-1.031.308,-10.221.831,3.428.059,90.970.755,54.361.016,Good"
"25.752.487,-69.683.605,-17.727.275,2.920.559,30.510.948,7.329.186,14.461.999,Good"
"29.702.222,-10.276.177,-17.405.663,8.389.762,22.986.054,-20.147.575,-73.823.726,Good"
"8.829.595,-31.499.138,-26.051.456,18.051.673,38.056.114,51.137.853,-4.325.752,Good"
"17.841.947,-12.209.939,-3.354.234,49.124.236,35.107.415,2.793.367,-13.379.465,Good"
"34.407.349,-2.212.485,4.674.663,32.664.847,14.370.991,39.987.254,-20.488.653,Good"
"18.953.764,-2.554.522,-46.254.513,-12.369.188,26.826.756,23.971.336,-23.805.332,Good"
"33.342.602,-7.314.692,-11.426.476,20.651.987,21.296.039,18.790.221,-9.899.111,Good"
"25.015.414,-31.337.192,-61.349.314,21.687.372,96.606.594,30.444.925,-33.558.736,Good"
"42.357.717,-7.431.083,-34.054.747,-4.373.214,34.058.806,10.344.689,28.131.062,Good"
"39.223.812,-20.402.527,-18.271.443,90.448.576,1.849.745,11.546.092,-8.597.245,Good"
"16.893.212,-8.142.652,-27.974.987,29.072.908,20.062.585,3.820.506,37.056.354,Good"
"16.108.221,42.521.164,-1.220.917,30.125.027,29.912.982,9.840.801,-637.778,Good"
"21.472.845,-33.855.608,-84.954.184,-26.494.849,2.225.686,33.178.563,-1.354.365,Good"
"4.508.035,3.422.531,-16.355.162,16.036.799,-90.000.355,22.939.246,-29.030.497,Good"
"57.089.953,-12.493.934,-24.065.366,-10.543.529,34.258.327,-7.817.443,37.156.253,Good"
"4.430.247,98.811,-3.430.598,14.172.007,-20.006.378,7.325.821,-26.092.582,Good"
"7.766.379,-19.826.748,35.564.855,2.035.913,23.138.342,535.107,-29.395.468,Good"
"9.810.037,-14.921.855,-11.013.839,11.898.596,3.112.413,3.0421,-31.207.335,Bad"
"14.983.778,-32.144.526,-24.653.447,-12.872.432,26.014.285,-10.815.543,11.816.033,Good"
"10.414.627,-7.853.997,-76.714.146,22.849.998,-46.069.485,2.111.984,-2.037.026,Good"
"9.055.578,-1.701.085,-25.558.178,86.200.607,13.883.754,36.264.913,-105.493.665,Good"
"41.978.216,-3.064.478,-2.255.183,3.307.692,1.606.112,13.397.595,2.479.494,Good"
"1.436.742,-1.287.266,-39.716.532,-1.719.859,11.395.903,-31.845.525,84.770.334,Good"
"-32.509.854,-18.600.004,-9.259.018,17.288.513,30.736.063,27.678.185,-21.429.281,Good"
"5.268.233,-1.003.564,-26.742.692,-1.657.064,18.847.642,-7.754.608,21.314.044,Good"
"10.673.742,73.970.926,-47.826.138,16.980.462,16.238.601,47.621.474,1.457.755,Good"
"5.252.895,-32.892.234,-5.040.128,17.319.759,-976.084,42.511.997,-4.365.839,Good"
"-89.838.684,-37.217.135,18.865.921,21.943.703,20.535.393,22.297.227,-52.371.507,Good"
"2.626.796,-15.280.526,-43.850.384,7.285.173,-64.654.565,-36.207.858,-22.456.336,Good"
"29.878.385,-6.648.277,-18.379.803,81.563.336,-121.713.206,12.308.013,-8.428.491,Good"
"28.232.892,-2.873.197,490.612,-15.944.706,33.981.514,34.701.478,-1.353.762,Good"
"-29.301.906,-4.212.191,3.321.678,31.275.377,-50.123.817,44.156.494,-4.836.783,Good"
"35.916.688,-18.919.582,-33.492.513,-6.745.501,26.900.506,-18.209.597,12.413.433,Good"
"8.196.386,-21.142.938,-20.996.082,2.108.334,-81.025.404,11.096.691,-24.913.278,Good"
"28.932.254,-26.923.125,35.174.525,37.367.265,13.291.702,2.633.374,-51.501.503,Good"
"587.563,-20.504.305,-237.817,18.623.849,14.410.443,8.778.675,-19.185.795,Good"
"36.530.726,-13.749.156,-13.495.103,21.921.785,25.431.433,-2.106.554,6.570.129,Good"
"19.827.639,-55.977.315,-36.396.635,22.609.577,29.554.217,-5.768.421,19.938.741,Good"
"13.650.945,-30.635.087,-19.992.977,10.016.657,9.976.439,-62.437.516,-20.989.604,Good"
"-14.896.998,-30.809.104,-27.827.468,-2.036.236,38.167.841,15.995.144,-14.994.867,Good"
"14.669.205,-27.450.113,-12.992.613,-5.524.748,16.237.082,14.964.397,-17.628.683,Good"
"-16.047.241,-33.901.787,-73.653.734,-17.165.387,-7.901.034,24.560.797,-4.726.811,Good"
"25.174.332,-14.501.271,-66.528.064,42.076.726,24.815.977,25.830.824,-23.939.333,Good"
"3.189.199,-21.177.459,23.376.466,22.963.636,43.334.184,9.253.178,2.969.396,Good"
"22.951.875,1.077.741,-33.610.888,15.702.996,17.131.476,8.932.441,12.919.476,Good"
"28.539.771,9.308.879,-4.047.049,25.858.397,-1.100.884,86.225.396,-23.089.635,Good"
"38.695.428,10.373.578,-39.344.876,-21.085.258,29.431.095,-31.500.406,18.335.253,Good"
"22.290.799,-36.159.784,-13.990.859,34.385.586,-21.129.696,4.179.755,-3.737.799,Good"
"22.251.406,7.521.285,-2.737.241,67.147.035,34.937.737,-655.727,4.158.157,Good"
"23.838.792,-16.471.199,-8.535.808,33.325.762,4.107.218,16.689.065,-22.556.243,Good"
"3.983.843,7.804.471,-3.849.763,16.502.196,27.501.268,60.247.785,15.365.365,Good"
"39.650.424,-15.207.344,-19.302.855,-245.668,8.820.644,18.811.752,-59.336.025,Good"
"10.318.091,11.129.675,-4.172.654,34.654.157,20.336.907,-12.201.618,14.818.606,Good"
"70.852.304,-8.758.057,-2.253.669,1.291.378,6.681.203,29.858.375,-29.403.466,Good"
"21.477.852,-11.249.002,-1.022.022,4.629.752,-1.023.173,99.917.495,-4.685.056,Good"
"37.459.655,7.109.752,-15.089.887,-5.569.713,48.325.343,-7.990.701,26.891.398,Good"
"67.623,-27.196.078,-69.690.126,2.586.476,17.934.899,1.952.689,-46.405.597,Good"
"2.543.108,-1.452.908,-26.344.981,77.806.056,2.781.877,92.348.176,6.215.757,Good"
"21.622.295,-12.904.063,-19.179.021,34.818.912,-10.509.121,14.746.242,-33.500.984,Good"
"99.089.706,-33.970.368,98.216.623,16.125.085,-1.960.457,36.310.678,-6.505.685,Good"
"-78.950.214,-2.889.175,-5.159.897,15.100.582,2.285.876,20.345.428,-3.370.894,Good"
"8.403.912,-10.680.081,-3.502.227,-16.056.353,28.880.885,43.671.286,9.262.741,Good"
"99.910.176,-2.672.191,-90.907.985,24.503.344,12.271.221,31.800.163,-39.131.513,Good"
"8.919.127,-11.396.316,-17.045.158,17.034.028,89.441.776,19.490.426,-29.287.357,Good"
"19.197.327,-3.176.759,-46.324.694,38.786.018,21.542.256,34.684.815,-14.936.066,Good"
"5.752.977,18.979.677,-12.579.801,13.012.658,2.123.489,-22.026.622,10.342.453,Good"
"-12.548.186,-1.995.927,-6.260.687,14.244.124,35.179.136,12.168.366,-22.723.076,Good"
"6.083.429,-2.399.188,-12.374.198,53.335.514,-22.056.805,21.656.673,-3.974.722,Good"
"30.754.092,-19.991.758,-75.070.924,17.844.033,-2.582.016,24.902.036,-13.796.682,Good"
"-88.162.534,-20.123.692,-35.102.205,8.868.614,-48.848.382,5.167.346,-17.346.388,Good"
"12.611.978,23.092.571,-11.091.231,31.072.016,2.648.863,-42.071.012,-16.291.486,Good"
"30.805.068,-56.863.105,-11.479.331,31.471.562,4.228.531,19.797.486,-24.419.446,Good"
"8.079.606,-6.386.285,-10.229.285,31.960.182,13.309.462,22.590.845,-27.940.502,Good"
"30.378.063,-41.034,-30.968.156,63.385.004,17.585.685,-5.252.412,8.302.738,Good"
"18.787.311,-7.197.888,-26.012.127,13.860.757,27.079.945,4.382.224,79.877.734,Good"
"32.796.698,-26.709.943,-2.766.859,-6.898.758,8.302.815,10.934.136,-17.125.164,Good"
"-2.217.191,10.446.118,-13.982.496,39.829.848,29.134.037,13.860.109,-83.053.386,Good"
"22.168.489,-12.458.925,-12.925.415,19.761.328,13.306.652,9.706.124,-22.183.602,Good"
"32.952.964,-2.138.285,-9.532.574,37.312.505,10.413.789,4.775.166,-22.274.113,Good"
"24.990.177,-20.455.384,-10.593.188,-7.413.679,24.156.382,153.259,-14.810.909,Good"
"-7.093.613,-16.884.031,-12.172.054,27.102.286,8.289.383,31.885.302,-33.135.445,Good"
"4.111.596,7.214.139,-32.353.072,-5.395.511,11.558.033,-11.058.323,11.430.677,Good"
"2.493.235,-13.597.617,61.945.077,25.086.198,18.776.662,33.089.118,-45.451.317,Good"
"2.883.772,-1.782.727,-19.773.686,17.040.812,63.257.146,15.610.796,-218.602,Good"
"22.722.197,-12.797.908,-14.418.085,12.141.734,21.881.547,-19.867.066,-16.393.421,Good"
"-46.308.186,-22.969.613,47.155.946,39.379.792,12.770.367,44.310.017,-27.610.586,Good"
"20.789.576,-14.752.371,-18.342.564,22.491.903,14.520.222,18.197.614,-24.029.617,Good"
"19.025.875,11.650.544,-42.317.033,5.989.187,3.704.604,-12.141.863,33.527.417,Good"
"2.599.011,-24.474.056,16.981.061,10.533.328,3.816.852,25.517.385,-32.035.606,Good"
"1.649.847,-19.463.062,21.488.628,14.085.138,33.263.466,2.347.595,-21.013.508,Good"
"-27.025.878,-35.194.108,-89.886.166,37.476.718,82.478.946,28.717.618,-57.658.687,Good"
"-10.540.311,-22.917.733,92.616.785,2.239.457,17.467.387,15.694.326,-35.546.896,Good"
"2.243.785,-9.098.981,-26.505.039,16.318.542,11.964.661,-21.313.904,-14.714.526,Good"
"35.959.157,-27.965.126,-679.954,11.979.952,37.146.533,38.016.316,-10.556.363,Good"
"3.000.185,-3.708.483,15.296.845,87.506.646,10.833.039,52.086.234,-53.637.824,Good"
"33.808.641,-9.514.617,-16.234.423,12.680.181,6.699.269,17.352.546,-26.510.773,Good"
"31.377.983,-27.799.342,-2.962.775,-18.776.338,3.644.576,24.927.352,17.980.477,Good"
"2.998.116,10.991.737,-3.083.361,77.874.446,42.841.783,-7.335.792,11.466.689,Good"
"97.899.306,-33.488.834,-7.691.844,-79.274.553,16.391.522,15.614.707,-18.571.582,Good"
"31.306.944,-20.624.103,-28.304.317,-13.564.178,45.710.573,-21.190.033,25.163.648,Good"
"47.872.777,1.698.456,-12.972.397,27.987.516,35.610.936,-19.572.835,223.079,Good"
"15.922.093,4.237.208,-2.941.589,12.005.544,23.692.766,12.250.159,-68.822.044,Good"
"49.097.424,37.204.826,-35.763.206,-5.359.341,9.225.116,-10.458.738,27.107.198,Good"
"46.723.065,10.745.996,-21.613.061,18.166.784,2.771.437,16.161.643,7.312.539,Good"
"23.507.967,-5.456.796,-2.316.001,35.368.786,45.838.732,10.798.755,-20.993.805,Good"
"5.794.209,-35.478.528,-967.163,76.715.314,22.168.678,4.488.859,-2.923.163,Good"
"1.727.043,-2.119.197,-2.567.604,12.360.003,23.527.486,825.261,-18.973.722,Good"
"21.769.383,-17.455.895,-19.880.335,-28.911.028,-38.980.458,17.465.274,-19.138.254,Good"
"59.263.825,3.921.155,-12.559.804,52.210.164,36.515.647,-61.384.574,22.271.705,Good"
"50.268.745,-20.304.961,-10.134.059,18.814.653,-15.775.338,32.796.445,-31.645.908,Good"
"19.476.488,-2.867.576,-43.175.416,27.133.843,31.569.614,71.672.976,7.020.303,Good"
"-8.049.176,-12.334.387,-19.319.255,18.016.756,14.645.417,18.822.715,-2.377.272,Good"
"1.787.072,-64.575.535,-13.785.727,4.184.474,15.584.577,33.109.996,-23.238.053,Good"
"10.801.637,-42.349.795,-37.677.565,23.457.875,20.341.454,5.225.329,-34.886.953,Good"
"22.971.165,-17.194.732,-24.559.703,56.006.694,10.050.204,-27.094.698,-12.521.186,Good"
"23.657.887,-22.339.325,57.061.684,7.559.948,3.503.695,5.846.482,-24.032.269,Good"
"-1.955.442,-38.030.944,-13.274.397,51.341.815,37.377.632,4.839.092,-51.570.954,Good"
"34.314.225,-18.884.355,-33.910.306,15.569.302,-4.018.115,13.246.912,41.187.537,Good"
"24.903.893,-10.954.465,-7.629.058,10.319.202,12.919.741,58.925.796,-4.547.276,Good"
"21.585.333,-23.898.698,-31.121.013,47.518.544,10.382.189,10.598.735,-67.099.124,Good"
"5.639.185,-39.423.103,-25.531.524,1.137.661,1.149.229,34.291.704,-27.040.198,Good"
"12.494.779,-3.969.075,-10.585.707,3.813.396,39.949.815,8.349.073,82.171.124,Good"
"2.206.577,35.193.312,-36.030.653,89.009.684,10.191.877,27.458.367,61.861.485,Good"
"88.941.294,-11.163.973,-3.844.187,6.420.379,15.675.701,85.457.854,23.885.413,Good"
"-5.195.888,-47.429.357,18.130.147,-11.552.341,17.002.454,2.661.487,-4.278.365,Good"
"98.005.784,-3.412.549,-65.014.803,14.511.908,25.227.587,2.072.741,-2.722.018,Good"
"2.484.591,-7.929.322,-17.048.147,1.158.873,14.774.061,13.659.309,96.223.927,Good"
"25.728.781,-15.038.939,-43.267.548,22.782.328,-107.887,28.694.773,-2.882.657,Good"
"-6.028.536,-16.008.271,-14.729.377,3.740.639,22.201.838,-47.823.977,-1.439.652,Good"
"24.268.472,-25.157.769,69.395.185,34.844.081,36.322.417,2.520.919,-17.381.433,Good"
"26.242.528,-15.016.619,-1.470.374,1.159.071,-53.688.284,2.143.883,-14.781.111,Good"
"34.520.679,-9.690.066,-12.742.869,18.519.485,17.619.004,13.210.937,-13.104.283,Good"
"14.537.411,-17.822.944,-46.194.223,26.737.509,1.452.397,14.498.874,-25.824.327,Good"
"29.386.783,-4.584.839,-22.039.807,92.698.544,-6.550.581,45.368.392,-128.428,Good"
"19.220.359,-13.227.919,-15.595.411,38.111.851,36.256.173,5.395.724,35.065.535,Good"
"-79.075.706,-29.017.415,2.047.927,21.024.897,2.028.513,35.175.457,-34.827.163,Good"
"-11.517.638,-11.217.028,-6.874.593,23.335.083,73.482.215,25.612.621,-34.706.833,Good"
"24.620.123,-15.771.567,11.514.935,6.124.278,45.666.742,46.228.485,-4.031.594,Good"
"23.426.993,-9.798.502,-22.654.023,18.180.372,22.782.652,7.114.181,-84.062.296,Good"
"36.258.419,11.346.687,-4.005.182,-7.284.547,17.881.827,-54.519.996,31.512.809,Good"
"-2.642.333,-27.286.155,-16.919.976,-1.059.724,21.597.113,21.749.833,-4.831.335,Good"
"2.621.859,-20.573.783,-84.435.564,-30.919.015,-1.670.615,18.813.109,-32.761.266,Good"
"62.578.017,-25.772.011,12.241.757,4.224.445,36.677.816,2.434.083,-34.288.712,Good"
"9.457.435,-11.802.182,-211.112,18.457.835,-30.750.278,25.625.572,-43.470.106,Good"
"26.300.385,-2.393.928,7.244.666,39.421.954,-19.866.256,37.985.532,-42.505.913,Good"
"23.477.335,-10.711.404,-19.490.631,21.915.877,1.485.243,-12.134.881,-92.143,Good"
"-11.229.612,-17.413.359,-10.973.673,9.313.881,51.020.365,-7.148.704,14.010.268,Good"
"25.776.763,-10.609.993,-30.457.203,38.150.358,-9.912.142,10.909.253,-13.995.988,Good"
"29.735.541,-22.519.755,-5.805.497,28.893.113,21.887.777,27.447.035,-22.739.851,Good"
"19.319.987,-56.299.336,-25.305.676,19.504.951,22.828.555,6.659.591,1.032.978,Good"
"-1.638.417,-46.306.014,75.592.905,152.144,25.289.423,38.047.674,-46.335.883,Good"
"90.767.515,-18.950.281,-72.614.306,34.634.964,12.462.233,16.534.647,-28.829.355,Good"
